VIDEO,ANIMAL,BODY-PART,MEASURE,VALUE
03Training_rat23,Animal_1,Nose,Velocity (cm/s),17.084140738298682
02Training_rat25,Animal_1,Nose,Distance (cm),606.161326038966
02Training_rat25,Animal_1,Nose,Velocity (cm/s),22.91356570207333
07Training_rat32,Animal_1,Nose,Distance (cm),110.40451243663404
07Training_rat32,Animal_1,Nose,Velocity (cm/s),19.33238441886033
07Training_rat26,Animal_1,Nose,Distance (cm),187.3867285259387
07Training_rat26,Animal_1,Nose,Velocity (cm/s),27.163245510639136
06Training_rat20,Animal_1,Nose,Distance (cm),346.1166261744621
06Training_rat20,Animal_1,Nose,Velocity (cm/s),36.720896137668554
06Training_rat08,Animal_1,Nose,Distance (cm),407.06500219339216
06Training_rat08,Animal_1,Nose,Velocity (cm/s),42.55820205312039
06Training_rat05,Animal_1,Nose,Distance (cm),466.9730282032484
06Training_rat05,Animal_1,Nose,Velocity (cm/s),17.71296260224432
07Training_rat03,Animal_1,Nose,Distance (cm),3037.654732789333
07Training_rat03,Animal_1,Nose,Velocity (cm/s),16.903326952971348
07Training_rat17,Animal_1,Nose,Distance (cm),1269.110744255638
07Training_rat17,Animal_1,Nose,Velocity (cm/s),16.740302949190333
06Training_rat11,Animal_1,Nose,Distance (cm),430.1521718065704
06Training_rat11,Animal_1,Nose,Velocity (cm/s),13.557239402253773
02Training_rat28,Animal_1,Nose,Distance (cm),824.0980221719217
02Training_rat28,Animal_1,Nose,Velocity (cm/s),18.862852138183744
03Training_rat06,Animal_1,Nose,Distance (cm),299.7614469649651
03Training_rat06,Animal_1,Nose,Velocity (cm/s),17.157968921938302
03Training_rat12,Animal_1,Nose,Distance (cm),372.3248286707791
03Training_rat12,Animal_1,Nose,Velocity (cm/s),19.9190936157834
02Training_rat14,Animal_1,Nose,Distance (cm),785.6099685667618
02Training_rat14,Animal_1,Nose,Velocity (cm/s),19.584355130197643
03Training_rat13,Animal_1,Nose,Distance (cm),344.17191297299263
03Training_rat13,Animal_1,Nose,Velocity (cm/s),20.3279457633179
02Training_rat15,Animal_1,Nose,Distance (cm),461.8378626561131
02Training_rat15,Animal_1,Nose,Velocity (cm/s),31.131620107315733
02Training_rat01,Animal_1,Nose,Distance (cm),1356.7177619668305
02Training_rat01,Animal_1,Nose,Velocity (cm/s),14.320610800524914
03Training_rat07,Animal_1,Nose,Distance (cm),972.4490540734139
03Training_rat07,Animal_1,Nose,Velocity (cm/s),16.82017386509003
02Training_rat29,Animal_1,Nose,Distance (cm),413.3639153450531
02Training_rat29,Animal_1,Nose,Velocity (cm/s),15.309774642409373
07Training_rat16,Animal_1,Nose,Distance (cm),629.0914410563958
07Training_rat16,Animal_1,Nose,Velocity (cm/s),9.254129333749534
06Training_rat10,Animal_1,Nose,Distance (cm),140.36603006635812
06Training_rat10,Animal_1,Nose,Velocity (cm/s),20.05229000947973
06Training_rat04,Animal_1,Nose,Distance (cm),143.2976803753128
06Training_rat04,Animal_1,Nose,Velocity (cm/s),24.9625181718455
07Training_rat02,Animal_1,Nose,Distance (cm),396.23172937105926
07Training_rat02,Animal_1,Nose,Velocity (cm/s),28.41194487081661
06Training_rat12,Animal_1,Nose,Distance (cm),91.30212125322946
06Training_rat12,Animal_1,Nose,Velocity (cm/s),2.9828789835473
07Training_rat14,Animal_1,Nose,Distance (cm),210.11441022995405
07Training_rat14,Animal_1,Nose,Velocity (cm/s),28.329576084564053
06Training_rat06,Animal_1,Nose,Distance (cm),2701.2241623189793
06Training_rat06,Animal_1,Nose,Velocity (cm/s),23.93336732243169
07Training_rat28,Animal_1,Nose,Distance (cm),4.196693352338996
07Training_rat28,Animal_1,Nose,Velocity (cm/s),0.11990552435254274
02Training_rat17,Animal_1,Nose,Distance (cm),517.7682618224934
02Training_rat17,Animal_1,Nose,Velocity (cm/s),20.149069526360847
03Training_rat11,Animal_1,Nose,Distance (cm),245.31288054683577
03Training_rat11,Animal_1,Nose,Velocity (cm/s),22.73595291919941
03Training_rat05,Animal_1,Nose,Distance (cm),555.2859918327981
03Training_rat05,Animal_1,Nose,Velocity (cm/s),23.308102732815822
