VIDEO,TIME BIN #,START TIME,END TIME,ANIMAL,BODY-PART,MEASUREMENT,VALUE
01Training_rat02,93,00:01:33.000,00:01:34.000,Animal_1,Center,Movement (cm),1.0789946512713366
01Training_rat02,94,00:01:34.000,00:01:35.000,Animal_1,Center,Movement (cm),4.222575381461771
01Training_rat02,95,00:01:35.000,00:01:36.000,Animal_1,Center,Movement (cm),5.933101267342997
01Training_rat02,96,00:01:36.000,00:01:37.000,Animal_1,Center,Movement (cm),3.5573098626647592
01Training_rat02,97,00:01:37.000,00:01:38.000,Animal_1,Center,Movement (cm),8.741036462433474
01Training_rat02,98,00:01:38.000,00:01:39.000,Animal_1,Center,Movement (cm),6.275694876753864
01Training_rat02,99,00:01:39.000,00:01:40.000,Animal_1,Center,Movement (cm),2.504790793921281
01Training_rat02,100,00:01:40.000,00:01:41.000,Animal_1,Center,Movement (cm),4.260348928051926
01Training_rat02,101,00:01:41.000,00:01:42.000,Animal_1,Center,Movement (cm),8.219189691136734
01Training_rat02,102,00:01:42.000,00:01:43.000,Animal_1,Center,Movement (cm),18.27838274328455
01Training_rat02,103,00:01:43.000,00:01:44.000,Animal_1,Center,Movement (cm),11.516819300880776
01Training_rat02,104,00:01:44.000,00:01:45.000,Animal_1,Center,Movement (cm),4.285809987010238
01Training_rat02,105,00:01:45.000,00:01:46.000,Animal_1,Center,Movement (cm),14.56904367523597
01Training_rat02,106,00:01:46.000,00:01:47.000,Animal_1,Center,Movement (cm),14.182019288326293
01Training_rat02,107,00:01:47.000,00:01:48.000,Animal_1,Center,Movement (cm),16.787977858278346
01Training_rat02,108,00:01:48.000,00:01:49.000,Animal_1,Center,Movement (cm),17.838185932384242
01Training_rat02,109,00:01:49.000,00:01:50.000,Animal_1,Center,Movement (cm),2.977079970988453
01Training_rat02,110,00:01:50.000,00:01:51.000,Animal_1,Center,Movement (cm),2.607836688093654
01Training_rat02,111,00:01:51.000,00:01:52.000,Animal_1,Center,Movement (cm),2.703686413568689
01Training_rat02,112,00:01:52.000,00:01:53.000,Animal_1,Center,Movement (cm),6.634513908303505
01Training_rat02,113,00:01:53.000,00:01:54.000,Animal_1,Center,Movement (cm),4.014982380588617
01Training_rat02,114,00:01:54.000,00:01:55.000,Animal_1,Center,Movement (cm),2.714749009504874
01Training_rat02,115,00:01:55.000,00:01:56.000,Animal_1,Center,Movement (cm),3.6252813046154464
01Training_rat02,116,00:01:56.000,00:01:57.000,Animal_1,Center,Movement (cm),0.9187348899183576
